             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  24
            0.250000	                   5	            0.300000	            3.500000	                   2
            0.300000	                   5	            0.300000	            3.500000	                   5
            0.350000	                   5	            0.300000	            3.500000	                  10
            0.400000	                   5	            0.300000	            3.500000	                  16
            0.450000	                   5	            0.300000	            3.500000	                  23
            0.500000	                   5	            0.300000	            3.500000	                  25
            0.550000	                   5	            0.300000	            3.500000	                  25
            0.600000	                   5	            0.300000	            3.500000	                  28
            0.650000	                   5	            0.300000	            3.500000	                  33
            0.700000	                   5	            0.300000	            3.500000	                  42
            0.750000	                   5	            0.300000	            3.500000	                  82
            0.800000	                   5	            0.300000	            3.500000	                 159
            0.850000	                   5	            0.300000	            3.500000	                 297
            0.250000	                  10	            0.300000	            3.500000	                   2
            0.300000	                  10	            0.300000	            3.500000	                   4
            0.350000	                  10	            0.300000	            3.500000	                  10
            0.400000	                  10	            0.300000	            3.500000	                  15
            0.450000	                  10	            0.300000	            3.500000	                  23
            0.500000	                  10	            0.300000	            3.500000	                  24
            0.550000	                  10	            0.300000	            3.500000	                  25
            0.600000	                  10	            0.300000	            3.500000	                  28
            0.650000	                  10	            0.300000	            3.500000	                  31
            0.700000	                  10	            0.300000	            3.500000	                  40
            0.750000	                  10	            0.300000	            3.500000	                  73
            0.800000	                  10	            0.300000	            3.500000	                 138
            0.850000	                  10	            0.300000	            3.500000	                 258
            0.250000	                  15	            0.300000	            3.500000	                   3
            0.300000	                  15	            0.300000	            3.500000	                   5
            0.350000	                  15	            0.300000	            3.500000	                  10
            0.400000	                  15	            0.300000	            3.500000	                  17
            0.450000	                  15	            0.300000	            3.500000	                  23
            0.500000	                  15	            0.300000	            3.500000	                  24
            0.550000	                  15	            0.300000	            3.500000	                  25
            0.600000	                  15	            0.300000	            3.500000	                  27
            0.650000	                  15	            0.300000	            3.500000	                  33
            0.700000	                  15	            0.300000	            3.500000	                  43
            0.750000	                  15	            0.300000	            3.500000	                  82
            0.800000	                  15	            0.300000	            3.500000	                 142
            0.850000	                  15	            0.300000	            3.500000	                 262
            0.250000	                  20	            0.300000	            3.500000	                   3
            0.300000	                  20	            0.300000	            3.500000	                   5
            0.350000	                  20	            0.300000	            3.500000	                  11
            0.400000	                  20	            0.300000	            3.500000	                  21
            0.450000	                  20	            0.300000	            3.500000	                  23
            0.500000	                  20	            0.300000	            3.500000	                  25
            0.550000	                  20	            0.300000	            3.500000	                  26
            0.600000	                  20	            0.300000	            3.500000	                  27
            0.650000	                  20	            0.300000	            3.500000	                  34
            0.700000	                  20	            0.300000	            3.500000	                  42
            0.750000	                  20	            0.300000	            3.500000	                  77
            0.800000	                  20	            0.300000	            3.500000	                 138
            0.850000	                  20	            0.300000	            3.500000	                 257
            0.250000	                  25	            0.300000	            3.500000	                   3
            0.300000	                  25	            0.300000	            3.500000	                   5
            0.350000	                  25	            0.300000	            3.500000	                  11
            0.400000	                  25	            0.300000	            3.500000	                  21
            0.450000	                  25	            0.300000	            3.500000	                  23
            0.500000	                  25	            0.300000	            3.500000	                  25
            0.550000	                  25	            0.300000	            3.500000	                  26
            0.600000	                  25	            0.300000	            3.500000	                  27
            0.650000	                  25	            0.300000	            3.500000	                  32
            0.700000	                  25	            0.300000	            3.500000	                  43
            0.750000	                  25	            0.300000	            3.500000	                  78
            0.800000	                  25	            0.300000	            3.500000	                 136
            0.850000	                  25	            0.300000	            3.500000	                 263
            0.250000	                  30	            0.300000	            3.500000	                   3
            0.300000	                  30	            0.300000	            3.500000	                   5
            0.350000	                  30	            0.300000	            3.500000	                  11
            0.400000	                  30	            0.300000	            3.500000	                  19
            0.450000	                  30	            0.300000	            3.500000	                  23
            0.500000	                  30	            0.300000	            3.500000	                  25
            0.550000	                  30	            0.300000	            3.500000	                  26
            0.600000	                  30	            0.300000	            3.500000	                  26
            0.650000	                  30	            0.300000	            3.500000	                  33
            0.700000	                  30	            0.300000	            3.500000	                  46
            0.750000	                  30	            0.300000	            3.500000	                  80
            0.800000	                  30	            0.300000	            3.500000	                 142
            0.850000	                  30	            0.300000	            3.500000	                 265
            0.250000	                  35	            0.300000	            3.500000	                   3
            0.300000	                  35	            0.300000	            3.500000	                   5
            0.350000	                  35	            0.300000	            3.500000	                  10
            0.400000	                  35	            0.300000	            3.500000	                  19
            0.450000	                  35	            0.300000	            3.500000	                  22
            0.500000	                  35	            0.300000	            3.500000	                  25
            0.550000	                  35	            0.300000	            3.500000	                  26
            0.600000	                  35	            0.300000	            3.500000	                  26
            0.650000	                  35	            0.300000	            3.500000	                  34
            0.700000	                  35	            0.300000	            3.500000	                  46
            0.750000	                  35	            0.300000	            3.500000	                  81
            0.800000	                  35	            0.300000	            3.500000	                 142
            0.850000	                  35	            0.300000	            3.500000	                 269
            0.250000	                  40	            0.300000	            3.500000	                   3
            0.300000	                  40	            0.300000	            3.500000	                   5
            0.350000	                  40	            0.300000	            3.500000	                  10
            0.400000	                  40	            0.300000	            3.500000	                  18
            0.450000	                  40	            0.300000	            3.500000	                  23
            0.500000	                  40	            0.300000	            3.500000	                  25
            0.550000	                  40	            0.300000	            3.500000	                  26
            0.600000	                  40	            0.300000	            3.500000	                  27
            0.650000	                  40	            0.300000	            3.500000	                  34
            0.700000	                  40	            0.300000	            3.500000	                  48
            0.750000	                  40	            0.300000	            3.500000	                  85
            0.800000	                  40	            0.300000	            3.500000	                 146
            0.850000	                  40	            0.300000	            3.500000	                 274
