             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  21
            0.500000	                  10	            0.300000	            3.500000	                  21
            0.500000	                  10	            0.300000	            3.500000	                  21
            0.500000	                  10	            0.300000	            3.500000	                  21
            0.250000	                   5	            0.300000	            3.500000	                  11
            0.300000	                   5	            0.300000	            3.500000	                  14
            0.350000	                   5	            0.300000	            3.500000	                  17
            0.400000	                   5	            0.300000	            3.500000	                  17
            0.450000	                   5	            0.300000	            3.500000	                  18
            0.500000	                   5	            0.300000	            3.500000	                  20
            0.550000	                   5	            0.300000	            3.500000	                  26
            0.600000	                   5	            0.300000	            3.500000	                  34
            0.650000	                   5	            0.300000	            3.500000	                  51
            0.700000	                   5	            0.300000	            3.500000	                  80
            0.750000	                   5	            0.300000	            3.500000	                 141
            0.800000	                   5	            0.300000	            3.500000	                 225
            0.850000	                   5	            0.300000	            3.500000	                 365
            0.250000	                   6	            0.300000	            3.500000	                   9
            0.300000	                   6	            0.300000	            3.500000	                  14
            0.350000	                   6	            0.300000	            3.500000	                  16
            0.400000	                   6	            0.300000	            3.500000	                  18
            0.450000	                   6	            0.300000	            3.500000	                  18
            0.500000	                   6	            0.300000	            3.500000	                  20
            0.550000	                   6	            0.300000	            3.500000	                  24
            0.600000	                   6	            0.300000	            3.500000	                  31
            0.650000	                   6	            0.300000	            3.500000	                  51
            0.700000	                   6	            0.300000	            3.500000	                  79
            0.750000	                   6	            0.300000	            3.500000	                 130
            0.800000	                   6	            0.300000	            3.500000	                 214
            0.850000	                   6	            0.300000	            3.500000	                 349
            0.250000	                   7	            0.300000	            3.500000	                  11
            0.300000	                   7	            0.300000	            3.500000	                  14
            0.350000	                   7	            0.300000	            3.500000	                  17
            0.400000	                   7	            0.300000	            3.500000	                  17
            0.450000	                   7	            0.300000	            3.500000	                  18
            0.500000	                   7	            0.300000	            3.500000	                  20
            0.550000	                   7	            0.300000	            3.500000	                  25
            0.600000	                   7	            0.300000	            3.500000	                  33
            0.650000	                   7	            0.300000	            3.500000	                  52
            0.700000	                   7	            0.300000	            3.500000	                  78
            0.750000	                   7	            0.300000	            3.500000	                 131
            0.800000	                   7	            0.300000	            3.500000	                 217
            0.850000	                   7	            0.300000	            3.500000	                 349
            0.250000	                   8	            0.300000	            3.500000	                  10
            0.300000	                   8	            0.300000	            3.500000	                  14
            0.350000	                   8	            0.300000	            3.500000	                  16
            0.400000	                   8	            0.300000	            3.500000	                  17
            0.450000	                   8	            0.300000	            3.500000	                  18
            0.500000	                   8	            0.300000	            3.500000	                  21
            0.550000	                   8	            0.300000	            3.500000	                  24
            0.600000	                   8	            0.300000	            3.500000	                  32
            0.650000	                   8	            0.300000	            3.500000	                  47
            0.700000	                   8	            0.300000	            3.500000	                  79
            0.750000	                   8	            0.300000	            3.500000	                 132
            0.800000	                   8	            0.300000	            3.500000	                 210
            0.850000	                   8	            0.300000	            3.500000	                 340
            0.250000	                   9	            0.300000	            3.500000	                  11
            0.300000	                   9	            0.300000	            3.500000	                  16
            0.350000	                   9	            0.300000	            3.500000	                  17
            0.400000	                   9	            0.300000	            3.500000	                  17
            0.450000	                   9	            0.300000	            3.500000	                  18
            0.500000	                   9	            0.300000	            3.500000	                  20
            0.550000	                   9	            0.300000	            3.500000	                  23
            0.600000	                   9	            0.300000	            3.500000	                  32
            0.650000	                   9	            0.300000	            3.500000	                  50
            0.700000	                   9	            0.300000	            3.500000	                  79
            0.750000	                   9	            0.300000	            3.500000	                 131
            0.800000	                   9	            0.300000	            3.500000	                 210
            0.850000	                   9	            0.300000	            3.500000	                 340
            0.250000	                  10	            0.300000	            3.500000	                  10
            0.300000	                  10	            0.300000	            3.500000	                  15
            0.350000	                  10	            0.300000	            3.500000	                  17
            0.400000	                  10	            0.300000	            3.500000	                  18
            0.450000	                  10	            0.300000	            3.500000	                  18
            0.500000	                  10	            0.300000	            3.500000	                  21
            0.550000	                  10	            0.300000	            3.500000	                  23
            0.600000	                  10	            0.300000	            3.500000	                  33
            0.650000	                  10	            0.300000	            3.500000	                  49
            0.700000	                  10	            0.300000	            3.500000	                  79
            0.750000	                  10	            0.300000	            3.500000	                 131
            0.800000	                  10	            0.300000	            3.500000	                 208
            0.850000	                  10	            0.300000	            3.500000	                 332
            0.250000	                  11	            0.300000	            3.500000	                  11
