             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  10	            0.300000	            3.500000	                  12
            0.250000	                   5	            0.300000	            3.500000	                  10
            0.300000	                   5	            0.300000	            3.500000	                  12
            0.350000	                   5	            0.300000	            3.500000	                  12
            0.400000	                   5	            0.300000	            3.500000	                  12
            0.450000	                   5	            0.300000	            3.500000	                  12
            0.500000	                   5	            0.300000	            3.500000	                  12
            0.550000	                   5	            0.300000	            3.500000	                  12
            0.600000	                   5	            0.300000	            3.500000	                  12
            0.650000	                   5	            0.300000	            3.500000	                  12
            0.700000	                   5	            0.300000	            3.500000	                  16
            0.750000	                   5	            0.300000	            3.500000	                  35
            0.800000	                   5	            0.300000	            3.500000	                  85
            0.850000	                   5	            0.300000	            3.500000	                 199
            0.250000	                  10	            0.300000	            3.500000	                   8
            0.300000	                  10	            0.300000	            3.500000	                  11
            0.350000	                  10	            0.300000	            3.500000	                  12
            0.400000	                  10	            0.300000	            3.500000	                  12
            0.450000	                  10	            0.300000	            3.500000	                  12
            0.500000	                  10	            0.300000	            3.500000	                  12
            0.550000	                  10	            0.300000	            3.500000	                  12
            0.600000	                  10	            0.300000	            3.500000	                  12
            0.650000	                  10	            0.300000	            3.500000	                  12
            0.700000	                  10	            0.300000	            3.500000	                  14
            0.750000	                  10	            0.300000	            3.500000	                  29
            0.800000	                  10	            0.300000	            3.500000	                  82
            0.850000	                  10	            0.300000	            3.500000	                 192
            0.250000	                  15	            0.300000	            3.500000	                   9
            0.300000	                  15	            0.300000	            3.500000	                  11
            0.350000	                  15	            0.300000	            3.500000	                  12
            0.400000	                  15	            0.300000	            3.500000	                  12
            0.450000	                  15	            0.300000	            3.500000	                  12
            0.500000	                  15	            0.300000	            3.500000	                  12
            0.550000	                  15	            0.300000	            3.500000	                  12
            0.600000	                  15	            0.300000	            3.500000	                  12
            0.650000	                  15	            0.300000	            3.500000	                  12
            0.700000	                  15	            0.300000	            3.500000	                  17
            0.750000	                  15	            0.300000	            3.500000	                  32
            0.800000	                  15	            0.300000	            3.500000	                  87
            0.850000	                  15	            0.300000	            3.500000	                 199
            0.250000	                  20	            0.300000	            3.500000	                   9
            0.300000	                  20	            0.300000	            3.500000	                  11
            0.350000	                  20	            0.300000	            3.500000	                  12
            0.400000	                  20	            0.300000	            3.500000	                  12
            0.450000	                  20	            0.300000	            3.500000	                  12
            0.500000	                  20	            0.300000	            3.500000	                  12
            0.550000	                  20	            0.300000	            3.500000	                  12
            0.600000	                  20	            0.300000	            3.500000	                  12
            0.650000	                  20	            0.300000	            3.500000	                  13
            0.700000	                  20	            0.300000	            3.500000	                  17
            0.750000	                  20	            0.300000	            3.500000	                  32
            0.800000	                  20	            0.300000	            3.500000	                  91
            0.850000	                  20	            0.300000	            3.500000	                 198
            0.250000	                  25	            0.300000	            3.500000	                   9
            0.300000	                  25	            0.300000	            3.500000	                  11
            0.350000	                  25	            0.300000	            3.500000	                  12
            0.400000	                  25	            0.300000	            3.500000	                  12
            0.450000	                  25	            0.300000	            3.500000	                  12
            0.500000	                  25	            0.300000	            3.500000	                  12
            0.550000	                  25	            0.300000	            3.500000	                  12
            0.600000	                  25	            0.300000	            3.500000	                  12
            0.650000	                  25	            0.300000	            3.500000	                  13
            0.700000	                  25	            0.300000	            3.500000	                  17
            0.750000	                  25	            0.300000	            3.500000	                  33
            0.800000	                  25	            0.300000	            3.500000	                  92
            0.850000	                  25	            0.300000	            3.500000	                 205
            0.250000	                  30	            0.300000	            3.500000	                   9
            0.300000	                  30	            0.300000	            3.500000	                  11
            0.350000	                  30	            0.300000	            3.500000	                  12
            0.400000	                  30	            0.300000	            3.500000	                  12
            0.450000	                  30	            0.300000	            3.500000	                  12
            0.500000	                  30	            0.300000	            3.500000	                  12
            0.550000	                  30	            0.300000	            3.500000	                  12
            0.600000	                  30	            0.300000	            3.500000	                  12
            0.650000	                  30	            0.300000	            3.500000	                  13
            0.700000	                  30	            0.300000	            3.500000	                  16
            0.750000	                  30	            0.300000	            3.500000	                  39
            0.800000	                  30	            0.300000	            3.500000	                  99
            0.850000	                  30	            0.300000	            3.500000	                 202
            0.250000	                  35	            0.300000	            3.500000	                  10
            0.300000	                  35	            0.300000	            3.500000	                  11
            0.350000	                  35	            0.300000	            3.500000	                  12
            0.400000	                  35	            0.300000	            3.500000	                  12
            0.450000	                  35	            0.300000	            3.500000	                  12
            0.500000	                  35	            0.300000	            3.500000	                  12
            0.550000	                  35	            0.300000	            3.500000	                  12
            0.600000	                  35	            0.300000	            3.500000	                  12
            0.650000	                  35	            0.300000	            3.500000	                  13
            0.700000	                  35	            0.300000	            3.500000	                  20
            0.750000	                  35	            0.300000	            3.500000	                  41
            0.800000	                  35	            0.300000	            3.500000	                 106
            0.850000	                  35	            0.300000	            3.500000	                 206
            0.250000	                  40	            0.300000	            3.500000	                  10
            0.300000	                  40	            0.300000	            3.500000	                  11
            0.350000	                  40	            0.300000	            3.500000	                  12
            0.400000	                  40	            0.300000	            3.500000	                  12
            0.450000	                  40	            0.300000	            3.500000	                  12
            0.500000	                  40	            0.300000	            3.500000	                  12
            0.550000	                  40	            0.300000	            3.500000	                  12
            0.600000	                  40	            0.300000	            3.500000	                  12
            0.650000	                  40	            0.300000	            3.500000	                  13
            0.700000	                  40	            0.300000	            3.500000	                  20
            0.750000	                  40	            0.300000	            3.500000	                  42
            0.800000	                  40	            0.300000	            3.500000	                 109
            0.850000	                  40	            0.300000	            3.500000	                 211
