             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                  27	            0.300000	            3.500000	                   7
            0.600000	                  27	            0.300000	            3.500000	                  12
            0.700000	                  27	            0.300000	            3.500000	                  42
            0.200000	                  32	            0.300000	            3.500000	                   0
            0.300000	                  32	            0.300000	            3.500000	                   2
            0.400000	                  32	            0.300000	            3.500000	                   4
            0.500000	                  32	            0.300000	            3.500000	                   7
            0.600000	                  32	            0.300000	            3.500000	                  14
            0.700000	                  32	            0.300000	            3.500000	                  44
            0.200000	                  37	            0.300000	            3.500000	                   1
            0.300000	                  37	            0.300000	            3.500000	                   2
            0.400000	                  37	            0.300000	            3.500000	                   4
            0.500000	                  37	            0.300000	            3.500000	                   6
            0.600000	                  37	            0.300000	            3.500000	                  14
            0.700000	                  37	            0.300000	            3.500000	                  45
