             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.250000	                   5	            0.300000	            3.500000	                  13
            0.350000	                   5	            0.300000	            3.500000	                  14
            0.450000	                   5	            0.300000	            3.500000	                  14
            0.550000	                   5	            0.300000	            3.500000	                  14
            0.650000	                   5	            0.300000	            3.500000	                  14
            0.250000	                  10	            0.300000	            3.500000	                  13
            0.350000	                  10	            0.300000	            3.500000	                  14
            0.450000	                  10	            0.300000	            3.500000	                  14
            0.550000	                  10	            0.300000	            3.500000	                  14
            0.650000	                  10	            0.300000	            3.500000	                  14
            0.250000	                  15	            0.300000	            3.500000	                  13
            0.350000	                  15	            0.300000	            3.500000	                  14
            0.450000	                  15	            0.300000	            3.500000	                  14
            0.550000	                  15	            0.300000	            3.500000	                  14
            0.650000	                  15	            0.300000	            3.500000	                  17
            0.250000	                  20	            0.300000	            3.500000	                  13
            0.350000	                  20	            0.300000	            3.500000	                  14
            0.450000	                  20	            0.300000	            3.500000	                  14
            0.550000	                  20	            0.300000	            3.500000	                  14
            0.650000	                  20	            0.300000	            3.500000	                  17
            0.250000	                  25	            0.300000	            3.500000	                  13
            0.350000	                  25	            0.300000	            3.500000	                  14
            0.450000	                  25	            0.300000	            3.500000	                  14
            0.550000	                  25	            0.300000	            3.500000	                  14
            0.650000	                  25	            0.300000	            3.500000	                  18
            0.250000	                  30	            0.300000	            3.500000	                  13
            0.350000	                  30	            0.300000	            3.500000	                  14
            0.450000	                  30	            0.300000	            3.500000	                  14
            0.550000	                  30	            0.300000	            3.500000	                  14
            0.650000	                  30	            0.300000	            3.500000	                  18
            0.250000	                  35	            0.300000	            3.500000	                  13
            0.350000	                  35	            0.300000	            3.500000	                  14
            0.450000	                  35	            0.300000	            3.500000	                  14
            0.550000	                  35	            0.300000	            3.500000	                  14
            0.650000	                  35	            0.300000	            3.500000	                  18
            0.250000	                  40	            0.300000	            3.500000	                  13
            0.350000	                  40	            0.300000	            3.500000	                  14
            0.450000	                  40	            0.300000	            3.500000	                  14
            0.550000	                  40	            0.300000	            3.500000	                  14
            0.650000	                  40	            0.300000	            3.500000	                  18
            0.250000	                   5	            0.300000	            3.500000	                  13
            0.350000	                   5	            0.300000	            3.500000	                  14
            0.450000	                   5	            0.300000	            3.500000	                  14
            0.550000	                   5	            0.300000	            3.500000	                  14
            0.650000	                   5	            0.300000	            3.500000	                  14
            0.250000	                  10	            0.300000	            3.500000	                  13
            0.350000	                  10	            0.300000	            3.500000	                  14
            0.450000	                  10	            0.300000	            3.500000	                  14
            0.550000	                  10	            0.300000	            3.500000	                  14
            0.650000	                  10	            0.300000	            3.500000	                  14
            0.250000	                  15	            0.300000	            3.500000	                  13
            0.350000	                  15	            0.300000	            3.500000	                  14
            0.450000	                  15	            0.300000	            3.500000	                  14
            0.550000	                  15	            0.300000	            3.500000	                  14
            0.650000	                  15	            0.300000	            3.500000	                  17
            0.250000	                  20	            0.300000	            3.500000	                  13
            0.350000	                  20	            0.300000	            3.500000	                  14
            0.450000	                  20	            0.300000	            3.500000	                  14
            0.550000	                  20	            0.300000	            3.500000	                  14
            0.650000	                  20	            0.300000	            3.500000	                  17
            0.250000	                  25	            0.300000	            3.500000	                  13
            0.350000	                  25	            0.300000	            3.500000	                  14
            0.450000	                  25	            0.300000	            3.500000	                  14
            0.550000	                  25	            0.300000	            3.500000	                  14
            0.650000	                  25	            0.300000	            3.500000	                  18
            0.250000	                  30	            0.300000	            3.500000	                  13
            0.350000	                  30	            0.300000	            3.500000	                  14
            0.450000	                  30	            0.300000	            3.500000	                  14
            0.550000	                  30	            0.300000	            3.500000	                  14
            0.650000	                  30	            0.300000	            3.500000	                  18
            0.250000	                  35	            0.300000	            3.500000	                  13
            0.350000	                  35	            0.300000	            3.500000	                  14
            0.450000	                  35	            0.300000	            3.500000	                  14
            0.550000	                  35	            0.300000	            3.500000	                  14
            0.650000	                  35	            0.300000	            3.500000	                  18
            0.250000	                  40	            0.300000	            3.500000	                  13
            0.350000	                  40	            0.300000	            3.500000	                  14
            0.450000	                  40	            0.300000	            3.500000	                  14
            0.550000	                  40	            0.300000	            3.500000	                  14
            0.650000	                  40	            0.300000	            3.500000	                  18
            0.200000	                   2	            0.300000	            3.500000	                  11
            0.300000	                   2	            0.300000	            3.500000	                  14
            0.400000	                   2	            0.300000	            3.500000	                  14
            0.500000	                   2	            0.300000	            3.500000	                  14
            0.600000	                   2	            0.300000	            3.500000	                  14
            0.700000	                   2	            0.300000	            3.500000	                  19
            0.200000	                   7	            0.300000	            3.500000	                  11
            0.300000	                   7	            0.300000	            3.500000	                  14
            0.400000	                   7	            0.300000	            3.500000	                  14
            0.500000	                   7	            0.300000	            3.500000	                  14
            0.600000	                   7	            0.300000	            3.500000	                  14
            0.700000	                   7	            0.300000	            3.500000	                  18
            0.200000	                  12	            0.300000	            3.500000	                  11
            0.300000	                  12	            0.300000	            3.500000	                  14
            0.400000	                  12	            0.300000	            3.500000	                  14
            0.500000	                  12	            0.300000	            3.500000	                  14
            0.600000	                  12	            0.300000	            3.500000	                  14
            0.700000	                  12	            0.300000	            3.500000	                  19
            0.200000	                  17	            0.300000	            3.500000	                  11
            0.300000	                  17	            0.300000	            3.500000	                  14
            0.400000	                  17	            0.300000	            3.500000	                  14
            0.500000	                  17	            0.300000	            3.500000	                  14
            0.600000	                  17	            0.300000	            3.500000	                  14
            0.700000	                  17	            0.300000	            3.500000	                  19
            0.200000	                  22	            0.300000	            3.500000	                  11
            0.300000	                  22	            0.300000	            3.500000	                  14
            0.400000	                  22	            0.300000	            3.500000	                  14
            0.500000	                  22	            0.300000	            3.500000	                  14
            0.600000	                  22	            0.300000	            3.500000	                  14
            0.700000	                  22	            0.300000	            3.500000	                  21
            0.200000	                  27	            0.300000	            3.500000	                  11
            0.300000	                  27	            0.300000	            3.500000	                  14
            0.400000	                  27	            0.300000	            3.500000	                  14
            0.500000	                  27	            0.300000	            3.500000	                  14
            0.600000	                  27	            0.300000	            3.500000	                  14
            0.700000	                  27	            0.300000	            3.500000	                  22
            0.200000	                  32	            0.300000	            3.500000	                  11
            0.300000	                  32	            0.300000	            3.500000	                  14
            0.400000	                  32	            0.300000	            3.500000	                  14
            0.500000	                  32	            0.300000	            3.500000	                  14
            0.600000	                  32	            0.300000	            3.500000	                  14
            0.700000	                  32	            0.300000	            3.500000	                  22
            0.200000	                  37	            0.300000	            3.500000	                  11
            0.300000	                  37	            0.300000	            3.500000	                  14
            0.400000	                  37	            0.300000	            3.500000	                  14
            0.500000	                  37	            0.300000	            3.500000	                  14
            0.600000	                  37	            0.300000	            3.500000	                  15
            0.700000	                  37	            0.300000	            3.500000	                  22
