             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.250000	                   5	            0.300000	            3.500000	                  43
            0.350000	                   5	            0.300000	            3.500000	                  75
            0.450000	                   5	            0.300000	            3.500000	                 140
            0.550000	                   5	            0.300000	            3.500000	                 287
            0.650000	                   5	            0.300000	            3.500000	                 510
            0.250000	                  10	            0.300000	            3.500000	                  32
            0.350000	                  10	            0.300000	            3.500000	                  50
            0.450000	                  10	            0.300000	            3.500000	                  88
            0.550000	                  10	            0.300000	            3.500000	                 157
            0.650000	                  10	            0.300000	            3.500000	                 325
            0.250000	                  15	            0.300000	            3.500000	                  40
            0.350000	                  15	            0.300000	            3.500000	                  68
            0.450000	                  15	            0.300000	            3.500000	                 107
            0.550000	                  15	            0.300000	            3.500000	                 192
            0.650000	                  15	            0.300000	            3.500000	                 399
            0.250000	                  20	            0.300000	            3.500000	                  34
            0.350000	                  20	            0.300000	            3.500000	                  54
            0.450000	                  20	            0.300000	            3.500000	                  92
            0.550000	                  20	            0.300000	            3.500000	                 160
            0.650000	                  20	            0.300000	            3.500000	                 324
            0.250000	                  25	            0.300000	            3.500000	                  39
            0.350000	                  25	            0.300000	            3.500000	                  63
            0.450000	                  25	            0.300000	            3.500000	                 100
            0.550000	                  25	            0.300000	            3.500000	                 168
            0.650000	                  25	            0.300000	            3.500000	                 360
            0.250000	                  30	            0.300000	            3.500000	                  38
            0.350000	                  30	            0.300000	            3.500000	                  59
            0.450000	                  30	            0.300000	            3.500000	                  93
            0.550000	                  30	            0.300000	            3.500000	                 159
            0.650000	                  30	            0.300000	            3.500000	                 326
            0.250000	                  35	            0.300000	            3.500000	                  37
            0.350000	                  35	            0.300000	            3.500000	                  57
            0.450000	                  35	            0.300000	            3.500000	                  95
            0.550000	                  35	            0.300000	            3.500000	                 165
            0.650000	                  35	            0.300000	            3.500000	                 344
            0.250000	                  40	            0.300000	            3.500000	                  38
            0.350000	                  40	            0.300000	            3.500000	                  56
            0.450000	                  40	            0.300000	            3.500000	                  91
            0.550000	                  40	            0.300000	            3.500000	                 159
            0.650000	                  40	            0.300000	            3.500000	                 319
            0.250000	                   5	            0.300000	            3.500000	                  43
            0.350000	                   5	            0.300000	            3.500000	                  75
            0.450000	                   5	            0.300000	            3.500000	                 140
            0.550000	                   5	            0.300000	            3.500000	                 287
            0.650000	                   5	            0.300000	            3.500000	                 510
            0.250000	                  10	            0.300000	            3.500000	                  32
            0.350000	                  10	            0.300000	            3.500000	                  50
            0.450000	                  10	            0.300000	            3.500000	                  88
            0.550000	                  10	            0.300000	            3.500000	                 157
            0.650000	                  10	            0.300000	            3.500000	                 325
            0.250000	                  15	            0.300000	            3.500000	                  40
            0.350000	                  15	            0.300000	            3.500000	                  68
            0.450000	                  15	            0.300000	            3.500000	                 107
            0.550000	                  15	            0.300000	            3.500000	                 192
            0.650000	                  15	            0.300000	            3.500000	                 399
            0.250000	                  20	            0.300000	            3.500000	                  34
            0.350000	                  20	            0.300000	            3.500000	                  54
            0.450000	                  20	            0.300000	            3.500000	                  92
            0.550000	                  20	            0.300000	            3.500000	                 160
            0.650000	                  20	            0.300000	            3.500000	                 324
            0.250000	                  25	            0.300000	            3.500000	                  39
            0.350000	                  25	            0.300000	            3.500000	                  63
            0.450000	                  25	            0.300000	            3.500000	                 100
            0.550000	                  25	            0.300000	            3.500000	                 168
            0.650000	                  25	            0.300000	            3.500000	                 360
            0.250000	                  30	            0.300000	            3.500000	                  38
            0.350000	                  30	            0.300000	            3.500000	                  59
            0.450000	                  30	            0.300000	            3.500000	                  93
            0.550000	                  30	            0.300000	            3.500000	                 159
            0.650000	                  30	            0.300000	            3.500000	                 326
            0.250000	                  35	            0.300000	            3.500000	                  37
            0.350000	                  35	            0.300000	            3.500000	                  57
            0.450000	                  35	            0.300000	            3.500000	                  95
            0.550000	                  35	            0.300000	            3.500000	                 165
            0.650000	                  35	            0.300000	            3.500000	                 344
            0.250000	                  40	            0.300000	            3.500000	                  38
            0.350000	                  40	            0.300000	            3.500000	                  56
            0.450000	                  40	            0.300000	            3.500000	                  91
            0.550000	                  40	            0.300000	            3.500000	                 159
            0.650000	                  40	            0.300000	            3.500000	                 319
