             z_alpha	          n_neigh_ch	            sus_perc	            n_sigmas	   n_broken_channels
            0.500000	                   1	            0.300000	            3.500000	                  24
            0.500000	                   2	            0.300000	            3.500000	                  20
            0.500000	                   3	            0.300000	            3.500000	                  25
            0.500000	                   4	            0.300000	            3.500000	                  23
            0.500000	                   5	            0.300000	            3.500000	                  25
            0.500000	                  10	            0.300000	            3.500000	                  24
            0.500000	                  15	            0.300000	            3.500000	                  24
            0.500000	                  20	            0.300000	            3.500000	                  25
            0.500000	                  25	            0.300000	            3.500000	                  25
            0.500000	                  30	            0.300000	            3.500000	                  25
            0.500000	                  30	            0.300000	            3.500000	                  25
            0.500000	                  35	            0.300000	            3.500000	                  25
            0.300000	                  25	            0.300000	            5.000000	                   5
            0.350000	                  25	            0.300000	            5.000000	                  11
            0.400000	                  25	            0.300000	            5.000000	                  21
            0.450000	                  25	            0.300000	            5.000000	                  23
            0.550000	                  25	            0.300000	            5.000000	                  26
            0.600000	                  25	            0.300000	            5.000000	                  26
            0.650000	                  25	            0.300000	            5.000000	                  28
            0.700000	                  25	            0.300000	            5.000000	                  34
            0.550000	                   1	            0.300000	            5.000000	                  26
            0.550000	                   2	            0.300000	            5.000000	                  21
            0.550000	                   3	            0.300000	            5.000000	                  25
            0.550000	                   4	            0.300000	            5.000000	                  25
            0.550000	                   5	            0.300000	            5.000000	                  25
            0.550000	                   6	            0.300000	            5.000000	                  25
            0.550000	                   7	            0.300000	            5.000000	                  25
            0.550000	                   8	            0.300000	            5.000000	                  25
            0.550000	                   9	            0.300000	            5.000000	                  25
            0.550000	                  10	            0.300000	            5.000000	                  25
            0.550000	                  15	            0.300000	            5.000000	                  25
            0.550000	                  20	            0.300000	            5.000000	                  26
            0.550000	                  25	            0.300000	            5.000000	                  26
            0.550000	                  30	            0.300000	            5.000000	                  26
            0.550000	                  35	            0.300000	            5.000000	                  26
            0.550000	                  40	            0.300000	            5.000000	                  26
            0.550000	                  25	            0.050000	            5.000000	                  26
            0.550000	                  25	            0.100000	            5.000000	                  26
            0.550000	                  25	            0.150000	            5.000000	                  26
            0.550000	                  25	            0.200000	            5.000000	                  26
            0.550000	                  25	            0.250000	            5.000000	                  26
            0.550000	                  25	            0.300000	            5.000000	                  26
            0.550000	                  25	            0.350000	            5.000000	                  26
            0.550000	                  25	            0.400000	            5.000000	                  26
            0.550000	                  25	            0.450000	            5.000000	                  26
            0.550000	                  25	            0.500000	            5.000000	                  26
            0.550000	                  25	            0.300000	            0.500000	                  37
            0.550000	                  25	            0.300000	            1.000000	                  35
            0.550000	                  25	            0.300000	            1.500000	                  29
            0.550000	                  25	            0.300000	            2.000000	                  27
            0.550000	                  25	            0.300000	            2.500000	                  27
            0.550000	                  25	            0.300000	            3.000000	                  26
            0.550000	                  25	            0.300000	            3.500000	                  26
            0.550000	                  25	            0.300000	            4.000000	                  26
            0.550000	                  25	            0.300000	            4.500000	                  26
            0.550000	                  25	            0.300000	            5.000000	                  26
            0.550000	                  25	            0.300000	            5.500000	                  26
            0.550000	                  25	            0.300000	            6.000000	                  26
            0.550000	                  25	            0.300000	            6.000000	                  26
